Digital (A),Raw (V)
0.2,0.424
0.31,0.515
0.4,0.596
0.5,0.683
0.61,0.781
0.72,0.908
0.81,0.82
1,1.191
1.2,1.401
1.4,1.631
1.5,1.706
1.61,1.875
1.71,1.929
1.8,2.04
1.89,2.06
1.99,2.256
2,2.272
2.13,2.462
2.3,2.632
2.43,2.786
2.49,2.873
2.51,2.839
2.8,3.111
3,3.293
3.2,3.529
3.39,3.672
3.5,3.817
3.71,4
3.81,4.132
3.9,4.258
4,4.373
4.2,4.559
4.4,4.759
4.5,4.884
4.71,5.088
5,5.401
5.2,5.706
5.4,5.92
5.6,6.346
6.05,6.558
6.51,7.051
7.07,7.686
7.5,8.194
7.91,8.685
8.04,8.569
8.49,9.192
